"시군구별(1)","시군구별(2)",시점,합계출산율
"서울특별시","소계",2012,1.059
"서울특별시","소계",2013,0.968
"서울특별시","소계",2014,0.983
"서울특별시","소계",2015,1.001
"서울특별시","소계",2016,0.940
"서울특별시","소계",2017,0.836
"서울특별시","소계",2018,0.761
"서울특별시","소계",2019,0.717
"서울특별시","소계",2020,0.642
"서울특별시","소계",2021,0.626
"서울특별시","소계",2022 p),0.590
"서울특별시","종로구",2012,0.890
"서울특별시","종로구",2013,0.729
"서울특별시","종로구",2014,0.790
"서울특별시","종로구",2015,0.813
"서울특별시","종로구",2016,0.784
"서울특별시","종로구",2017,0.646
"서울특별시","종로구",2018,0.606
"서울특별시","종로구",2019,0.648
"서울특별시","종로구",2020,0.522
"서울특별시","종로구",2021,0.531
"서울특별시","종로구",2022 p),0.470
"서울특별시","중구",2012,1.121
"서울특별시","중구",2013,0.955
"서울특별시","중구",2014,1.004
"서울특별시","중구",2015,0.946
"서울특별시","중구",2016,0.974
"서울특별시","중구",2017,0.824
"서울특별시","중구",2018,0.737
"서울특별시","중구",2019,0.780
"서울특별시","중구",2020,0.688
"서울특별시","중구",2021,0.634
"서울특별시","중구",2022 p),0.600
"서울특별시","용산구",2012,1.098
"서울특별시","용산구",2013,1.008
"서울특별시","용산구",2014,0.978
"서울특별시","용산구",2015,1.005
"서울특별시","용산구",2016,0.907
"서울특별시","용산구",2017,0.793
"서울특별시","용산구",2018,0.747
"서울특별시","용산구",2019,0.713
"서울특별시","용산구",2020,0.634
"서울특별시","용산구",2021,0.664
"서울특별시","용산구",2022 p),0.590
"서울특별시","성동구",2012,1.077
"서울특별시","성동구",2013,1.079
"서울특별시","성동구",2014,1.027
"서울특별시","성동구",2015,1.095
"서울특별시","성동구",2016,1.013
"서울특별시","성동구",2017,0.972
"서울특별시","성동구",2018,0.909
"서울특별시","성동구",2019,0.855
"서울특별시","성동구",2020,0.783
"서울특별시","성동구",2021,0.764
"서울특별시","성동구",2022 p),0.720
"서울특별시","광진구",2012,0.957
"서울특별시","광진구",2013,0.877
"서울특별시","광진구",2014,0.895
"서울특별시","광진구",2015,0.903
"서울특별시","광진구",2016,0.867
"서울특별시","광진구",2017,0.749
"서울특별시","광진구",2018,0.713
"서울특별시","광진구",2019,0.652
"서울특별시","광진구",2020,0.527
"서울특별시","광진구",2021,0.525
"서울특별시","광진구",2022 p),0.460
"서울특별시","동대문구",2012,0.998
"서울특별시","동대문구",2013,0.909
"서울특별시","동대문구",2014,0.914
"서울특별시","동대문구",2015,0.960
"서울특별시","동대문구",2016,0.889
"서울특별시","동대문구",2017,0.822
"서울특별시","동대문구",2018,0.753
"서울특별시","동대문구",2019,0.765
"서울특별시","동대문구",2020,0.699
"서울특별시","동대문구",2021,0.660
"서울특별시","동대문구",2022 p),0.620
"서울특별시","중랑구",2012,1.082
"서울특별시","중랑구",2013,0.991
"서울특별시","중랑구",2014,1.006
"서울특별시","중랑구",2015,1.051
"서울특별시","중랑구",2016,0.995
"서울특별시","중랑구",2017,0.906
"서울특별시","중랑구",2018,0.825
"서울특별시","중랑구",2019,0.777
"서울특별시","중랑구",2020,0.660
"서울특별시","중랑구",2021,0.650
"서울특별시","중랑구",2022 p),0.660
"서울특별시","성북구",2012,1.044
"서울특별시","성북구",2013,0.983
"서울특별시","성북구",2014,0.949
"서울특별시","성북구",2015,0.991
"서울특별시","성북구",2016,0.909
"서울특별시","성북구",2017,0.818
"서울특별시","성북구",2018,0.737
"서울특별시","성북구",2019,0.707
"서울특별시","성북구",2020,0.676
"서울특별시","성북구",2021,0.656
"서울특별시","성북구",2022 p),0.650
"서울특별시","강북구",2012,1.051
"서울특별시","강북구",2013,0.963
"서울특별시","강북구",2014,0.955
"서울특별시","강북구",2015,0.922
"서울특별시","강북구",2016,0.878
"서울특별시","강북구",2017,0.825
"서울특별시","강북구",2018,0.647
"서울특별시","강북구",2019,0.617
"서울특별시","강북구",2020,0.550
"서울특별시","강북구",2021,0.541
"서울특별시","강북구",2022 p),0.480
"서울특별시","도봉구",2012,1.137
"서울특별시","도봉구",2013,0.956
"서울특별시","도봉구",2014,1.000
"서울특별시","도봉구",2015,1.010
"서울특별시","도봉구",2016,0.947
"서울특별시","도봉구",2017,0.833
"서울특별시","도봉구",2018,0.774
"서울특별시","도봉구",2019,0.697
"서울특별시","도봉구",2020,0.601
"서울특별시","도봉구",2021,0.579
"서울특별시","도봉구",2022 p),0.570
"서울특별시","노원구",2012,1.162
"서울특별시","노원구",2013,1.057
"서울특별시","노원구",2014,1.109
"서울특별시","노원구",2015,1.096
"서울특별시","노원구",2016,1.068
"서울특별시","노원구",2017,0.938
"서울특별시","노원구",2018,0.809
"서울특별시","노원구",2019,0.776
"서울특별시","노원구",2020,0.695
"서울특별시","노원구",2021,0.701
"서울특별시","노원구",2022 p),0.720
"서울특별시","은평구",2012,1.139
"서울특별시","은평구",2013,1.024
"서울특별시","은평구",2014,1.028
"서울특별시","은평구",2015,1.003
"서울특별시","은평구",2016,0.943
"서울특별시","은평구",2017,0.814
"서울특별시","은평구",2018,0.772
"서울특별시","은평구",2019,0.697
"서울특별시","은평구",2020,0.623
"서울특별시","은평구",2021,0.604
"서울특별시","은평구",2022 p),0.610
"서울특별시","서대문구",2012,0.967
"서울특별시","서대문구",2013,0.938
"서울특별시","서대문구",2014,0.954
"서울특별시","서대문구",2015,0.913
"서울특별시","서대문구",2016,0.934
"서울특별시","서대문구",2017,0.823
"서울특별시","서대문구",2018,0.727
"서울특별시","서대문구",2019,0.685
"서울특별시","서대문구",2020,0.685
"서울특별시","서대문구",2021,0.635
"서울특별시","서대문구",2022 p),0.610
"서울특별시","마포구",2012,0.991
"서울특별시","마포구",2013,0.892
"서울특별시","마포구",2014,0.915
"서울특별시","마포구",2015,0.986
"서울특별시","마포구",2016,0.945
"서울특별시","마포구",2017,0.806
"서울특별시","마포구",2018,0.733
"서울특별시","마포구",2019,0.681
"서울특별시","마포구",2020,0.594
"서울특별시","마포구",2021,0.587
"서울특별시","마포구",2022 p),0.530
"서울특별시","양천구",2012,1.055
"서울특별시","양천구",2013,0.990
"서울특별시","양천구",2014,1.005
"서울특별시","양천구",2015,1.034
"서울특별시","양천구",2016,1.008
"서울특별시","양천구",2017,0.898
"서울특별시","양천구",2018,0.771
"서울특별시","양천구",2019,0.742
"서울특별시","양천구",2020,0.644
"서울특별시","양천구",2021,0.645
"서울특별시","양천구",2022 p),0.610
"서울특별시","강서구",2012,1.151
"서울특별시","강서구",2013,1.032
"서울특별시","강서구",2014,1.064
"서울특별시","강서구",2015,1.129
"서울특별시","강서구",2016,1.059
"서울특별시","강서구",2017,0.925
"서울특별시","강서구",2018,0.826
"서울특별시","강서구",2019,0.760
"서울특별시","강서구",2020,0.675
"서울특별시","강서구",2021,0.617
"서울특별시","강서구",2022 p),0.590
"서울특별시","구로구",2012,1.258
"서울특별시","구로구",2013,1.162
"서울특별시","구로구",2014,1.142
"서울특별시","구로구",2015,1.169
"서울특별시","구로구",2016,1.070
"서울특별시","구로구",2017,0.943
"서울특별시","구로구",2018,0.838
"서울특별시","구로구",2019,0.794
"서울특별시","구로구",2020,0.737
"서울특별시","구로구",2021,0.737
"서울특별시","구로구",2022 p),0.690
"서울특별시","금천구",2012,1.104
"서울특별시","금천구",2013,0.944
"서울특별시","금천구",2014,1.019
"서울특별시","금천구",2015,1.086
"서울특별시","금천구",2016,0.944
"서울특별시","금천구",2017,0.901
"서울특별시","금천구",2018,0.796
"서울특별시","금천구",2019,0.709
"서울특별시","금천구",2020,0.668
"서울특별시","금천구",2021,0.612
"서울특별시","금천구",2022 p),0.590
"서울특별시","영등포구",2012,1.142
"서울특별시","영등포구",2013,0.999
"서울특별시","영등포구",2014,1.025
"서울특별시","영등포구",2015,1.085
"서울특별시","영등포구",2016,1.011
"서울특별시","영등포구",2017,0.884
"서울특별시","영등포구",2018,0.851
"서울특별시","영등포구",2019,0.829
"서울특별시","영등포구",2020,0.705
"서울특별시","영등포구",2021,0.713
"서울특별시","영등포구",2022 p),0.670
"서울특별시","동작구",2012,1.017
"서울특별시","동작구",2013,0.974
"서울특별시","동작구",2014,1.007
"서울특별시","동작구",2015,1.012
"서울특별시","동작구",2016,0.912
"서울특별시","동작구",2017,0.831
"서울특별시","동작구",2018,0.737
"서울특별시","동작구",2019,0.697
"서울특별시","동작구",2020,0.655
"서울특별시","동작구",2021,0.602
"서울특별시","동작구",2022 p),0.570
"서울특별시","관악구",2012,0.891
"서울특별시","관악구",2013,0.825
"서울특별시","관악구",2014,0.834
"서울특별시","관악구",2015,0.833
"서울특별시","관악구",2016,0.777
"서울특별시","관악구",2017,0.662
"서울특별시","관악구",2018,0.597
"서울특별시","관악구",2019,0.536
"서울특별시","관악구",2020,0.474
"서울특별시","관악구",2021,0.437
"서울특별시","관악구",2022 p),0.420
"서울특별시","서초구",2012,1.095
"서울특별시","서초구",2013,1.007
"서울특별시","서초구",2014,1.014
"서울특별시","서초구",2015,1.012
"서울특별시","서초구",2016,0.928
"서울특별시","서초구",2017,0.799
"서울특별시","서초구",2018,0.800
"서울특별시","서초구",2019,0.715
"서울특별시","서초구",2020,0.656
"서울특별시","서초구",2021,0.666
"서울특별시","서초구",2022 p),0.600
"서울특별시","강남구",2012,0.886
"서울특별시","강남구",2013,0.842
"서울특별시","강남구",2014,0.863
"서울특별시","강남구",2015,0.857
"서울특별시","강남구",2016,0.802
"서울특별시","강남구",2017,0.706
"서울특별시","강남구",2018,0.631
"서울특별시","강남구",2019,0.612
"서울특별시","강남구",2020,0.537
"서울특별시","강남구",2021,0.523
"서울특별시","강남구",2022 p),0.490
"서울특별시","송파구",2012,1.099
"서울특별시","송파구",2013,0.973
"서울특별시","송파구",2014,0.996
"서울특별시","송파구",2015,1.008
"서울특별시","송파구",2016,0.958
"서울특별시","송파구",2017,0.871
"서울특별시","송파구",2018,0.800
"서울특별시","송파구",2019,0.770
"서울특별시","송파구",2020,0.665
"서울특별시","송파구",2021,0.623
"서울특별시","송파구",2022 p),0.600
"서울특별시","강동구",2012,1.101
"서울특별시","강동구",2013,1.006
"서울특별시","강동구",2014,1.039
"서울특별시","강동구",2015,1.036
"서울특별시","강동구",2016,0.938
"서울특별시","강동구",2017,0.884
"서울특별시","강동구",2018,0.820
"서울특별시","강동구",2019,0.758
"서울특별시","강동구",2020,0.748
"서울특별시","강동구",2021,0.797
"서울특별시","강동구",2022 p),0.720
"부산광역시","소계",2012,1.135
"부산광역시","소계",2013,1.049
"부산광역시","소계",2014,1.090
"부산광역시","소계",2015,1.139
"부산광역시","소계",2016,1.095
"부산광역시","소계",2017,0.976
"부산광역시","소계",2018,0.899
"부산광역시","소계",2019,0.827
"부산광역시","소계",2020,0.747
"부산광역시","소계",2021,0.728
"부산광역시","소계",2022 p),0.720
"부산광역시","중구",2012,0.945
"부산광역시","중구",2013,0.887
"부산광역시","중구",2014,0.914
"부산광역시","중구",2015,0.925
"부산광역시","중구",2016,0.801
"부산광역시","중구",2017,0.687
"부산광역시","중구",2018,0.698
"부산광역시","중구",2019,0.504
"부산광역시","중구",2020,0.445
"부산광역시","중구",2021,0.381
"부산광역시","중구",2022 p),0.460
"부산광역시","서구",2012,0.905
"부산광역시","서구",2013,0.819
"부산광역시","서구",2014,0.878
"부산광역시","서구",2015,0.899
"부산광역시","서구",2016,0.912
"부산광역시","서구",2017,0.758
"부산광역시","서구",2018,0.736
"부산광역시","서구",2019,0.689
"부산광역시","서구",2020,0.661
"부산광역시","서구",2021,0.647
"부산광역시","서구",2022 p),0.650
"부산광역시","동구",2012,1.033
"부산광역시","동구",2013,0.947
"부산광역시","동구",2014,0.941
"부산광역시","동구",2015,0.929
"부산광역시","동구",2016,0.885
"부산광역시","동구",2017,0.791
"부산광역시","동구",2018,0.702
"부산광역시","동구",2019,0.727
"부산광역시","동구",2020,0.728
"부산광역시","동구",2021,0.777
"부산광역시","동구",2022 p),0.740
"부산광역시","영도구",2012,0.912
"부산광역시","영도구",2013,0.840
"부산광역시","영도구",2014,0.871
"부산광역시","영도구",2015,0.899
"부산광역시","영도구",2016,0.938
"부산광역시","영도구",2017,0.750
"부산광역시","영도구",2018,0.707
"부산광역시","영도구",2019,0.639
"부산광역시","영도구",2020,0.577
"부산광역시","영도구",2021,0.549
"부산광역시","영도구",2022 p),0.690
"부산광역시","부산진구",2012,1.134
"부산광역시","부산진구",2013,1.029
"부산광역시","부산진구",2014,1.037
"부산광역시","부산진구",2015,1.079
"부산광역시","부산진구",2016,1.003
"부산광역시","부산진구",2017,0.883
"부산광역시","부산진구",2018,0.811
"부산광역시","부산진구",2019,0.712
"부산광역시","부산진구",2020,0.621
"부산광역시","부산진구",2021,0.655
"부산광역시","부산진구",2022 p),0.630
"부산광역시","동래구",2012,1.061
"부산광역시","동래구",2013,0.935
"부산광역시","동래구",2014,0.983
"부산광역시","동래구",2015,1.026
"부산광역시","동래구",2016,1.014
"부산광역시","동래구",2017,0.887
"부산광역시","동래구",2018,0.813
"부산광역시","동래구",2019,0.819
"부산광역시","동래구",2020,0.801
"부산광역시","동래구",2021,0.778
"부산광역시","동래구",2022 p),0.820
"부산광역시","남구",2012,1.068
"부산광역시","남구",2013,1.017
"부산광역시","남구",2014,1.029
"부산광역시","남구",2015,1.049
"부산광역시","남구",2016,0.987
"부산광역시","남구",2017,0.881
"부산광역시","남구",2018,0.816
"부산광역시","남구",2019,0.770
"부산광역시","남구",2020,0.675
"부산광역시","남구",2021,0.687
"부산광역시","남구",2022 p),0.620
"부산광역시","북구",2012,1.218
"부산광역시","북구",2013,1.148
"부산광역시","북구",2014,1.192
"부산광역시","북구",2015,1.209
"부산광역시","북구",2016,1.234
"부산광역시","북구",2017,1.106
"부산광역시","북구",2018,0.992
"부산광역시","북구",2019,0.852
"부산광역시","북구",2020,0.771
"부산광역시","북구",2021,0.764
"부산광역시","북구",2022 p),0.820
"부산광역시","해운대구",2012,1.143
"부산광역시","해운대구",2013,1.058
"부산광역시","해운대구",2014,1.070
"부산광역시","해운대구",2015,1.081
"부산광역시","해운대구",2016,1.047
"부산광역시","해운대구",2017,0.884
"부산광역시","해운대구",2018,0.841
"부산광역시","해운대구",2019,0.811
"부산광역시","해운대구",2020,0.736
"부산광역시","해운대구",2021,0.687
"부산광역시","해운대구",2022 p),0.680
"부산광역시","사하구",2012,1.254
"부산광역시","사하구",2013,1.147
"부산광역시","사하구",2014,1.142
"부산광역시","사하구",2015,1.199
"부산광역시","사하구",2016,1.119
"부산광역시","사하구",2017,1.005
"부산광역시","사하구",2018,0.925
"부산광역시","사하구",2019,0.816
"부산광역시","사하구",2020,0.758
"부산광역시","사하구",2021,0.687
"부산광역시","사하구",2022 p),0.730
"부산광역시","금정구",2012,1.003
"부산광역시","금정구",2013,0.921
"부산광역시","금정구",2014,0.910
"부산광역시","금정구",2015,1.009
"부산광역시","금정구",2016,0.868
"부산광역시","금정구",2017,0.849
"부산광역시","금정구",2018,0.788
"부산광역시","금정구",2019,0.761
"부산광역시","금정구",2020,0.625
"부산광역시","금정구",2021,0.629
"부산광역시","금정구",2022 p),0.580
"부산광역시","강서구",2012,1.505
"부산광역시","강서구",2013,1.424
"부산광역시","강서구",2014,1.688
"부산광역시","강서구",2015,1.982
"부산광역시","강서구",2016,1.924
"부산광역시","강서구",2017,1.829
"부산광역시","강서구",2018,1.611
"부산광역시","강서구",2019,1.442
"부산광역시","강서구",2020,1.259
"부산광역시","강서구",2021,1.170
"부산광역시","강서구",2022 p),1.180
"부산광역시","연제구",2012,1.083
"부산광역시","연제구",2013,0.989
"부산광역시","연제구",2014,1.079
"부산광역시","연제구",2015,1.075
"부산광역시","연제구",2016,1.070
"부산광역시","연제구",2017,0.945
"부산광역시","연제구",2018,0.936
"부산광역시","연제구",2019,0.909
"부산광역시","연제구",2020,0.793
"부산광역시","연제구",2021,0.764
"부산광역시","연제구",2022 p),0.740
"부산광역시","수영구",2012,0.980
"부산광역시","수영구",2013,0.897
"부산광역시","수영구",2014,0.917
"부산광역시","수영구",2015,1.045
"부산광역시","수영구",2016,0.975
"부산광역시","수영구",2017,0.852
"부산광역시","수영구",2018,0.770
"부산광역시","수영구",2019,0.711
"부산광역시","수영구",2020,0.656
"부산광역시","수영구",2021,0.641
"부산광역시","수영구",2022 p),0.640
"부산광역시","사상구",2012,1.246
"부산광역시","사상구",2013,1.150
"부산광역시","사상구",2014,1.181
"부산광역시","사상구",2015,1.241
"부산광역시","사상구",2016,1.102
"부산광역시","사상구",2017,0.996
"부산광역시","사상구",2018,0.919
"부산광역시","사상구",2019,0.797
"부산광역시","사상구",2020,0.679
"부산광역시","사상구",2021,0.660
"부산광역시","사상구",2022 p),0.610
"부산광역시","기장군",2012,1.709
"부산광역시","기장군",2013,1.610
"부산광역시","기장군",2014,1.782
"부산광역시","기장군",2015,1.771
"부산광역시","기장군",2016,1.696
"부산광역시","기장군",2017,1.456
"부산광역시","기장군",2018,1.241
"부산광역시","기장군",2019,1.151
"부산광역시","기장군",2020,1.086
"부산광역시","기장군",2021,0.995
"부산광역시","기장군",2022 p),0.960
"대구광역시","소계",2012,1.217
"대구광역시","소계",2013,1.127
"대구광역시","소계",2014,1.169
"대구광역시","소계",2015,1.216
"대구광역시","소계",2016,1.186
"대구광역시","소계",2017,1.067
"대구광역시","소계",2018,0.987
"대구광역시","소계",2019,0.932
"대구광역시","소계",2020,0.807
"대구광역시","소계",2021,0.785
"대구광역시","소계",2022 p),0.760
"대구광역시","중구",2012,0.996
"대구광역시","중구",2013,0.936
"대구광역시","중구",2014,0.996
"대구광역시","중구",2015,1.157
"대구광역시","중구",2016,1.211
"대구광역시","중구",2017,1.040
"대구광역시","중구",2018,1.001
"대구광역시","중구",2019,0.886
"대구광역시","중구",2020,0.788
"대구광역시","중구",2021,0.783
"대구광역시","중구",2022 p),0.810
"대구광역시","동구",2012,1.280
"대구광역시","동구",2013,1.195
"대구광역시","동구",2014,1.283
"대구광역시","동구",2015,1.322
"대구광역시","동구",2016,1.239
"대구광역시","동구",2017,1.123
"대구광역시","동구",2018,1.024
"대구광역시","동구",2019,0.963
"대구광역시","동구",2020,0.820
"대구광역시","동구",2021,0.814
"대구광역시","동구",2022 p),0.800
"대구광역시","서구",2012,1.063
"대구광역시","서구",2013,0.994
"대구광역시","서구",2014,0.958
"대구광역시","서구",2015,0.985
"대구광역시","서구",2016,0.973
"대구광역시","서구",2017,0.819
"대구광역시","서구",2018,0.694
"대구광역시","서구",2019,0.616
"대구광역시","서구",2020,0.497
"대구광역시","서구",2021,0.470
"대구광역시","서구",2022 p),0.460
"대구광역시","남구",2012,0.933
"대구광역시","남구",2013,0.889
"대구광역시","남구",2014,0.870
"대구광역시","남구",2015,0.934
"대구광역시","남구",2016,0.875
"대구광역시","남구",2017,0.753
"대구광역시","남구",2018,0.683
"대구광역시","남구",2019,0.663
"대구광역시","남구",2020,0.567
"대구광역시","남구",2021,0.549
"대구광역시","남구",2022 p),0.500
"대구광역시","북구",2012,1.349
"대구광역시","북구",2013,1.217
"대구광역시","북구",2014,1.275
"대구광역시","북구",2015,1.349
"대구광역시","북구",2016,1.295
"대구광역시","북구",2017,1.140
"대구광역시","북구",2018,1.075
"대구광역시","북구",2019,0.961
"대구광역시","북구",2020,0.875
"대구광역시","북구",2021,0.808
"대구광역시","북구",2022 p),0.800
"대구광역시","수성구",2012,1.055
"대구광역시","수성구",2013,0.944
"대구광역시","수성구",2014,1.034
"대구광역시","수성구",2015,1.013
"대구광역시","수성구",2016,0.990
"대구광역시","수성구",2017,0.849
"대구광역시","수성구",2018,0.763
"대구광역시","수성구",2019,0.722
"대구광역시","수성구",2020,0.628
"대구광역시","수성구",2021,0.676
"대구광역시","수성구",2022 p),0.690
"대구광역시","달서구",2012,1.250
"대구광역시","달서구",2013,1.187
"대구광역시","달서구",2014,1.204
"대구광역시","달서구",2015,1.260
"대구광역시","달서구",2016,1.185
"대구광역시","달서구",2017,1.040
"대구광역시","달서구",2018,0.895
"대구광역시","달서구",2019,0.889
"대구광역시","달서구",2020,0.743
"대구광역시","달서구",2021,0.725
"대구광역시","달서구",2022 p),0.680
"대구광역시","달성군",2012,1.614
"대구광역시","달성군",2013,1.476
"대구광역시","달성군",2014,1.504
"대구광역시","달성군",2015,1.535
"대구광역시","달성군",2016,1.667
"대구광역시","달성군",2017,1.634
"대구광역시","달성군",2018,1.615
"대구광역시","달성군",2019,1.517
"대구광역시","달성군",2020,1.321
"대구광역시","달성군",2021,1.247
"대구광역시","달성군",2022 p),1.140
"인천광역시","소계",2012,1.301
"인천광역시","소계",2013,1.195
"인천광역시","소계",2014,1.212
"인천광역시","소계",2015,1.216
"인천광역시","소계",2016,1.144
"인천광역시","소계",2017,1.007
"인천광역시","소계",2018,1.006
"인천광역시","소계",2019,0.940
"인천광역시","소계",2020,0.829
"인천광역시","소계",2021,0.778
"인천광역시","소계",2022 p),0.750
"인천광역시","중구",2012,1.364
"인천광역시","중구",2013,1.283
"인천광역시","중구",2014,1.298
"인천광역시","중구",2015,1.299
"인천광역시","중구",2016,1.190
"인천광역시","중구",2017,1.047
"인천광역시","중구",2018,1.018
"인천광역시","중구",2019,0.993
"인천광역시","중구",2020,0.816
"인천광역시","중구",2021,0.822
"인천광역시","중구",2022 p),0.800
"인천광역시","동구",2012,1.342
"인천광역시","동구",2013,1.221
"인천광역시","동구",2014,1.156
"인천광역시","동구",2015,1.325
"인천광역시","동구",2016,1.185
"인천광역시","동구",2017,1.039
"인천광역시","동구",2018,1.005
"인천광역시","동구",2019,0.995
"인천광역시","동구",2020,0.697
"인천광역시","동구",2021,0.688
"인천광역시","동구",2022 p),0.680
"인천광역시","남구",2012,1.205
"인천광역시","남구",2013,1.107
"인천광역시","남구",2014,1.106
"인천광역시","남구",2015,1.127
"인천광역시","남구",2016,1.068
"인천광역시","남구",2017,1.027
"인천광역시","남구",2018,-
"인천광역시","남구",2019,-
"인천광역시","남구",2020,-
"인천광역시","남구",2021,-
"인천광역시","남구",2022 p),-
"인천광역시","연수구",2012,1.284
"인천광역시","연수구",2013,1.210
"인천광역시","연수구",2014,1.234
"인천광역시","연수구",2015,1.215
"인천광역시","연수구",2016,1.135
"인천광역시","연수구",2017,1.064
"인천광역시","연수구",2018,1.059
"인천광역시","연수구",2019,1.013
"인천광역시","연수구",2020,0.946
"인천광역시","연수구",2021,0.902
"인천광역시","연수구",2022 p),0.850
"인천광역시","남동구",2012,1.333
"인천광역시","남동구",2013,1.183
"인천광역시","남동구",2014,1.209
"인천광역시","남동구",2015,1.240
"인천광역시","남동구",2016,1.163
"인천광역시","남동구",2017,1.008
