구별,성별,연령별,2017,2018,2019,2020,2021
종로구,여자,15~19세,3476,3375,2998,2743,2492
종로구,여자,20~24세,5683,5711,5586,5733,5354
종로구,여자,25~29세,5520,5834,5805,5813,6049
종로구,여자,30~34세,4984,4822,4712,4678,4782
종로구,여자,35~39세,4990,5062,4854,4585,4334
종로구,여자,40~44세,5289,4929,4693,4683,4721
종로구,여자,45~49세,6423,6281,6075,5700,5306
중구,여자,15~19세,2368,2226,2000,1923,1643
중구,여자,20~24세,4387,4404,4408,4434,4284
중구,여자,25~29세,4749,4940,5189,5298,5506
중구,여자,30~34세,4800,4810,4846,4925,4950
중구,여자,35~39세,4683,4864,4884,4677,4534
중구,여자,40~44세,4074,3810,3782,3833,3937
중구,여자,45~49세,4660,4527,4480,4268,3896
용산구,여자,15~19세,4240,4095,3742,3922,3213
용산구,여자,20~24세,7289,7297,7142,7480,6976
용산구,여자,25~29세,8532,8925,9096,9577,9836
용산구,여자,30~34세,8672,8687,8677,8992,9289
용산구,여자,35~39세,9041,9106,8973,8848,8596
용산구,여자,40~44세,8217,7847,7585,7805,7750
용산구,여자,45~49세,9194,9225,8918,8624,7954
성동구,여자,15~19세,6444,6188,5569,5283,4801
성동구,여자,20~24세,10475,10746,10252,10191,9544
성동구,여자,25~29세,11835,12209,12241,12105,12042
성동구,여자,30~34세,12423,12507,12159,11950,11640
성동구,여자,35~39세,12713,13139,12661,11994,11306
성동구,여자,40~44세,10980,10722,10253,10129,10203
성동구,여자,45~49세,12218,12268,11745,10994,10124
광진구,여자,15~19세,8215,7596,6982,6541,6034
광진구,여자,20~24세,14020,14023,13722,14203,13493
광진구,여자,25~29세,16468,17052,17558,18454,18717
광진구,여자,30~34세,15233,14662,14399,14270,14290
광진구,여자,35~39세,14228,14452,13800,12986,12303
광진구,여자,40~44세,13030,12222,12008,11907,11881
광진구,여자,45~49세,14980,14679,14099,13296,12302
동대문구,여자,15~19세,8041,7647,6971,6553,5930
동대문구,여자,20~24세,14067,14288,14701,15044,15060
동대문구,여자,25~29세,12873,13054,13425,13948,14484
동대문구,여자,30~34세,11731,11389,11165,11410,11515
동대문구,여자,35~39세,12773,13020,12547,11993,11324
동대문구,여자,40~44세,11908,11421,11103,11070,11239
동대문구,여자,45~49세,13369,13164,12588,12055,11238
중랑구,여자,15~19세,8537,7904,7296,6800,6269
중랑구,여자,20~24세,12721,12060,11439,11546,10747
중랑구,여자,25~29세,14941,15102,15400,15892,16051
중랑구,여자,30~34세,14525,13923,13500,13671,13980
중랑구,여자,35~39세,14983,14887,14245,13580,12920
중랑구,여자,40~44세,13568,12650,12290,12462,12641
중랑구,여자,45~49세,16679,15927,15060,14270,13205
성북구,여자,15~19세,11241,10799,10294,10202,9301
성북구,여자,20~24세,18204,18188,18724,19304,18724
성북구,여자,25~29세,15580,15544,16293,16623,16886
성북구,여자,30~34세,14379,13530,13619,13609,13612
성북구,여자,35~39세,16469,16137,15943,15196,14489
성북구,여자,40~44세,17143,15839,15454,15255,15412
성북구,여자,45~49세,18780,18733,18871,18146,17098
강북구,여자,15~19세,7130,6559,6092,5671,5179
강북구,여자,20~24세,10319,10328,10124,10202,9600
강북구,여자,25~29세,10589,10725,10805,11057,10851
강북구,여자,30~34세,9652,9040,8730,8521,8626
강북구,여자,35~39세,11106,10735,9980,9149,8486
강북구,여자,40~44세,11284,10443,9874,9726,9374
강북구,여자,45~49세,13446,13114,12559,11878,10866
도봉구,여자,15~19세,8399,7704,7156,6540,5974
도봉구,여자,20~24세,10873,10508,10125,10035,9353
도봉구,여자,25~29세,10968,10971,10953,10785,10715
도봉구,여자,30~34세,10220,9671,9352,9036,9024
도봉구,여자,35~39세,11887,11614,10936,10172,9381
도봉구,여자,40~44세,12166,11197,10723,10325,10254
도봉구,여자,45~49세,15039,14612,13938,13065,11960
노원구,여자,15~19세,16904,15562,14490,13522,12512
노원구,여자,20~24세,19210,18900,18018,18257,17287
노원구,여자,25~29세,16265,16348,16259,16401,16202
노원구,여자,30~34세,16651,15289,14487,14375,14590
노원구,여자,35~39세,19809,19209,17893,16725,15785
노원구,여자,40~44세,22394,20730,19593,19219,18921
노원구,여자,45~49세,27119,26518,25553,24314,22359
은평구,여자,15~19세,11276,10596,10017,9522,8819
은평구,여자,20~24세,14289,13959,13779,14285,13616
은평구,여자,25~29세,16093,16800,17532,18624,18864
은평구,여자,30~34세,16370,15728,15720,16071,16418
은평구,여자,35~39세,18808,18577,18041,17271,16271
은평구,여자,40~44세,18527,17497,16951,17071,17140
은평구,여자,45~49세,20865,20649,20313,19701,18387
서대문구,여자,15~19세,7255,6821,6521,6527,5946
서대문구,여자,20~24세,13928,13878,13577,14323,13809
서대문구,여자,25~29세,12605,12599,12997,13593,13638
서대문구,여자,30~34세,10818,10354,10164,10773,11025
서대문구,여자,35~39세,11431,11418,11232,11156,10572
서대문구,여자,40~44세,11193,10545,10220,10511,10535
서대문구,여자,45~49세,13158,12806,12475,12089,11213
마포구,여자,15~19세,7873,7511,7137,6892,6486
마포구,여자,20~24세,13120,13187,13499,14232,13730
마포구,여자,25~29세,16687,17382,18077,18811,19145
마포구,여자,30~34세,17215,16735,16555,16779,16851
마포구,여자,35~39세,16562,16678,16369,16052,15514
마포구,여자,40~44세,15415,14667,14367,14306,14438
마포구,여자,45~49세,15479,15682,15595,15185,14756
양천구,여자,15~19세,13994,13075,12298,11816,11179
양천구,여자,20~24세,13867,13356,12829,12978,12184
양천구,여자,25~29세,14112,14174,14349,14641,14418
양천구,여자,30~34세,14303,13371,12839,12656,12559
양천구,여자,35~39세,17178,16939,16125,15386,14360
양천구,여자,40~44세,19513,18564,18175,18203,18262
양천구,여자,45~49세,23373,22852,22172,21329,20095
강서구,여자,15~19세,12924,12124,11598,10931,10225
강서구,여자,20~24세,17900,17194,16837,16853,16240
강서구,여자,25~29세,24392,25272,26423,27612,28022
강서구,여자,30~34세,25340,24635,24145,24113,24881
강서구,여자,35~39세,25979,26117,24995,23158,22210
강서구,여자,40~44세,22544,21908,21504,21497,21628
강서구,여자,45~49세,23200,22966,22734,21899,20868
구로구,여자,15~19세,8344,7908,7496,6991,6585
구로구,여자,20~24세,11864,11409,11316,11409,10752
구로구,여자,25~29세,14605,14843,15469,15792,15715
구로구,여자,30~34세,15694,14690,14624,15024,14944
구로구,여자,35~39세,17331,16749,16299,15369,14257
구로구,여자,40~44세,15285,14506,14272,14493,14370
구로구,여자,45~49세,15876,15749,15671,15141,14379
금천구,여자,15~19세,4771,4369,4026,3762,3450
금천구,여자,20~24세,7176,6997,6902,7131,6839
금천구,여자,25~29세,8710,9148,9817,10664,11311
금천구,여자,30~34세,8093,7778,7819,8089,8771
금천구,여자,35~39세,8139,7982,7793,7461,7160
금천구,여자,40~44세,7694,7174,6947,6867,6771
금천구,여자,45~49세,9414,9023,8727,8204,7664
영등포구,여자,15~19세,6713,6128,5757,5578,5158
영등포구,여자,20~24세,10496,10361,10315,10789,10658
영등포구,여자,25~29세,15388,16188,17276,18758,19218
영등포구,여자,30~34세,15640,15722,15831,16998,17790
영등포구,여자,35~39세,14866,15071,14865,15096,15097
영등포구,여자,40~44세,12887,12287,12107,12598,12984
영등포구,여자,45~49세,13763,13643,13147,13024,12460
동작구,여자,15~19세,8272,7797,7333,7142,6658
동작구,여자,20~24세,14145,14363,14432,15110,14368
동작구,여자,25~29세,16930,17353,18303,18848,18817
동작구,여자,30~34세,16270,15307,15203,15052,15218
동작구,여자,35~39세,16066,15764,15298,14277,13646
동작구,여자,40~44세,14271,13741,13499,13461,13333
동작구,여자,45~49세,15093,14967,14776,14232,13515
관악구,여자,15~19세,8986,8313,7786,7434,6687
관악구,여자,20~24세,19719,20683,21063,21331,20219
관악구,여자,25~29세,27852,29729,31517,33075,33621
관악구,여자,30~34세,21758,21160,20913,21265,21454
관악구,여자,35~39세,19240,18878,17884,16542,15588
관악구,여자,40~44세,16000,15249,14658,14533,14435
관악구,여자,45~49세,17207,16768,16367,15626,14498
서초구,여자,15~19세,11044,10561,10260,10131,9375
서초구,여자,20~24세,11791,11370,11076,12023,10944
서초구,여자,25~29세,14967,14862,14570,14528,13794
서초구,여자,30~34세,16767,15586,15241,14755,14346
서초구,여자,35~39세,19094,18782,17830,16788,15616
서초구,여자,40~44세,19381,18614,18053,18460,18383
서초구,여자,45~49세,19912,20101,20007,19247,18568
강남구,여자,15~19세,14909,13805,13277,13028,12286
강남구,여자,20~24세,15711,14942,14568,15479,14162
강남구,여자,25~29세,20637,19830,19952,19935,19137
강남구,여자,30~34세,22092,20371,19844,19548,18881
강남구,여자,35~39세,23893,23341,22566,21416,19953
강남구,여자,40~44세,23523,22587,22862,23405,23907
강남구,여자,45~49세,26871,26147,25909,25307,24605
송파구,여자,15~19세,16053,15174,14490,13677,12861
송파구,여자,20~24세,18848,18668,18552,19210,17948
송파구,여자,25~29세,24146,25294,26470,27050,26536
송파구,여자,30~34세,27117,26435,26861,26565,26139
송파구,여자,35~39세,28679,29400,29315,28033,26756
송파구,여자,40~44세,25889,25103,25597,26178,26765
송파구,여자,45~49세,28540,28308,28004,27093,25376
강동구,여자,15~19세,10248,9446,9006,8831,8432
강동구,여자,20~24세,12345,11816,11498,12291,12004
강동구,여자,25~29세,14842,14758,15288,17127,17492
강동구,여자,30~34세,15690,14724,14541,16249,16901
강동구,여자,35~39세,17642,17312,16988,18192,17863
강동구,여자,40~44세,16097,15326,15484,17372,18489
강동구,여자,45~49세,18205,17540,17181,17588,17196
