시점,시도별,농축수산물,공업제품,전기 · 가스 · 수도,집세,공공서비스,외식,외식제외,출산율
2012,　　　서울특별시,84.572,94.385,116.948,85.828,96.9,84.725,85.643,1.3
2013,　　　서울특별시,83.128,95.505,122.581,88.279,97.6,85.781,86.86,1.19
2014,　　　서울특별시,80.868,97.119,127.783,90.754,98.23,86.827,88.683,1.21
2015,　　　서울특별시,83.425,97.842,116.394,93.574,99.893,89.258,89.958,1.24
2016,　　　서울특별시,86.541,97.718,103.955,95.904,101.421,91.724,92.336,1.17
2017,　　　서울특별시,92.974,98.66,102.933,97.917,102.209,93.998,94.759,1.05
2018,　　　서울특별시,95.673,99.578,99.726,98.935,102.459,97.07,96.876,0.98
2019,　　　서울특별시,92.937,99.897,101.541,99.258,102.442,99.216,98.566,0.92
2020,　　　서울특별시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　서울특별시,107.86,101.51,97.66,101.61,100.8,102.82,102.3,0.81
2022,　　　서울특별시,111.67,107.43,112.3,103.35,101.51,110.56,106.45,0.78
2012,　　　부산광역시,86.98,94.925,111.049,93.777,98.489,85.107,83.655,1.3
2013,　　　부산광역시,87.529,95.998,116.215,95.999,99.153,86.076,85.562,1.19
2014,　　　부산광역시,84.518,97.364,120.596,97.126,100.562,87.508,87.363,1.21
2015,　　　부산광역시,86.15,98.01,111.89,98.12,100.991,89.337,89.324,1.24
2016,　　　부산광역시,89.391,97.573,103.359,99.193,101.722,92.578,92.263,1.17
2017,　　　부산광역시,93.013,98.882,102.059,100.272,102.858,94.478,94.66,1.05
2018,　　　부산광역시,97.364,100.039,99.908,100.607,103.517,97.731,96.804,0.98
2019,　　　부산광역시,95.724,100.137,101.377,100.129,102.649,99.57,98.919,0.92
2020,　　　부산광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　부산광역시,108.79,102.03,97.82,100.87,100.75,103.12,102.5,0.81
2022,　　　부산광역시,112.59,108.63,108.91,102.27,101.68,111.06,105.6,0.78
2012,　　　대구광역시,84.368,95.859,112.992,90.066,97.648,82.435,83.756,1.3
2013,　　　대구광역시,83.572,96.569,117.964,93.426,98.335,84.624,86.163,1.19
2014,　　　대구광역시,83.276,97.901,122.355,95.756,98.714,86.022,87.811,1.21
2015,　　　대구광역시,84.536,97.875,114.992,97.941,99.582,87.88,89.46,1.24
2016,　　　대구광역시,88.419,97.387,105.144,99.159,100.496,90.677,92.1,1.17
2017,　　　대구광역시,92.585,99.039,103.172,99.593,102.689,92.939,94.407,1.05
2018,　　　대구광역시,97.164,100.52,100.025,99.784,103.163,95.903,96.478,0.98
2019,　　　대구광역시,95.978,100.261,101.365,99.67,102.595,99.131,98.565,0.92
2020,　　　대구광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　대구광역시,108.96,102.48,97.66,101.33,100.87,102.62,102.71,0.81
2022,　　　대구광역시,113.0,109.63,110.08,102.44,101.51,110.57,106.92,0.78
2012,　　　인천광역시,85.582,94.91,116.39,87.791,98.392,83.553,85.909,1.3
2013,　　　인천광역시,85.792,95.742,122.265,89.072,98.757,85.15,86.248,1.19
2014,　　　인천광역시,82.788,97.133,127.538,91.3,99.662,86.759,87.899,1.21
2015,　　　인천광역시,83.999,98.075,116.187,94.264,100.78,88.782,89.603,1.24
2016,　　　인천광역시,86.635,97.713,104.29,96.23,102.514,90.486,92.285,1.17
2017,　　　인천광역시,90.527,99.162,103.172,98.009,103.126,93.251,94.483,1.05
2018,　　　인천광역시,95.286,100.262,99.909,99.211,102.996,97.057,96.365,0.98
2019,　　　인천광역시,93.817,100.054,101.669,99.562,102.06,98.673,97.796,0.92
2020,　　　인천광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　인천광역시,108.75,102.47,96.27,101.49,101.28,102.43,102.93,0.81
2022,　　　인천광역시,113.16,109.2,108.4,103.28,101.45,110.81,107.42,0.78
2012,　　　광주광역시,86.055,96.443,113.914,91.752,98.719,85.435,84.328,1.3
2013,　　　광주광역시,85.3,97.193,119.577,95.004,99.453,85.592,86.515,1.19
2014,　　　광주광역시,84.213,98.507,124.489,96.326,100.002,88.521,88.614,1.21
2015,　　　광주광역시,86.332,98.037,114.434,97.513,100.44,89.791,90.204,1.24
2016,　　　광주광역시,89.346,97.559,104.227,98.114,101.78,92.925,92.859,1.17
2017,　　　광주광역시,94.693,99.135,103.192,98.767,103.184,94.885,95.536,1.05
2018,　　　광주광역시,95.096,100.48,99.994,99.376,103.234,97.569,97.325,0.98
2019,　　　광주광역시,93.956,100.172,101.606,99.669,102.795,98.7,98.693,0.92
2020,　　　광주광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　광주광역시,110.05,102.3,97.35,100.82,100.92,103.23,102.12,0.81
2022,　　　광주광역시,115.59,109.23,109.41,101.91,101.68,110.53,105.74,0.78
2012,　　　대전광역시,87.159,96.658,114.59,94.145,101.288,87.684,85.972,1.3
2013,　　　대전광역시,85.236,97.477,119.837,95.744,101.708,89.34,86.876,1.19
2014,　　　대전광역시,82.404,98.64,124.577,97.67,101.927,90.363,87.79,1.21
2015,　　　대전광역시,82.784,98.248,114.434,98.559,102.762,92.407,89.376,1.24
2016,　　　대전광역시,85.876,97.954,104.245,99.1,103.883,94.69,91.351,1.17
2017,　　　대전광역시,91.11,99.282,103.021,99.657,104.499,96.015,93.586,1.05
2018,　　　대전광역시,94.248,100.62,99.918,99.731,104.734,99.068,96.143,0.98
2019,　　　대전광역시,93.669,100.33,101.469,99.524,103.217,99.379,98.427,0.92
2020,　　　대전광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　대전광역시,108.84,102.42,97.51,102.14,100.7,102.75,102.18,0.81
2022,　　　대전광역시,112.13,109.12,109.1,103.92,101.36,110.88,105.78,0.78
2012,　　　울산광역시,85.339,97.109,117.335,98.716,98.969,85.079,86.59,1.3
2013,　　　울산광역시,85.159,98.005,122.209,101.643,99.465,88.066,87.858,1.19
2014,　　　울산광역시,84.253,99.179,127.225,102.972,100.066,89.002,89.396,1.21
2015,　　　울산광역시,85.504,98.782,115.9,103.861,100.902,91.417,91.181,1.24
2016,　　　울산광역시,88.619,98.504,104.54,104.536,102.219,93.862,94.199,1.17
2017,　　　울산광역시,93.137,99.807,103.374,104.564,103.06,96.582,96.578,1.05
2018,　　　울산광역시,95.208,100.808,100.805,103.489,103.233,98.714,98.195,0.98
2019,　　　울산광역시,92.953,100.17,101.82,101.226,102.539,99.283,99.293,0.92
2020,　　　울산광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　울산광역시,109.05,102.2,97.07,101.66,100.73,102.98,102.02,0.81
2022,　　　울산광역시,112.81,108.65,109.3,104.2,101.72,110.35,105.37,0.78
2012,　　　경기도,85.52,96.444,114.137,88.109,96.184,86.548,85.462,1.3
2013,　　　경기도,85.465,97.197,119.364,90.288,96.601,87.444,86.802,1.19
2014,　　　경기도,82.766,98.487,123.707,92.519,97.072,88.771,88.236,1.21
2015,　　　경기도,84.023,98.185,115.369,95.367,98.684,90.465,89.591,1.24
2016,　　　경기도,86.939,97.734,104.566,97.381,100.515,92.33,91.997,1.17
2017,　　　경기도,92.013,99.179,102.986,99.355,101.39,94.648,94.437,1.05
2018,　　　경기도,94.954,100.497,99.988,100.156,101.493,97.63,96.56,0.98
2019,　　　경기도,93.649,100.216,101.397,100.028,101.315,99.437,98.298,0.92
2020,　　　경기도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　경기도,109.58,102.29,98.17,101.57,100.95,102.83,102.46,0.81
2022,　　　경기도,113.73,109.13,109.77,104.12,101.78,110.95,106.36,0.78
2012,　　　강원도,84.968,98.192,110.591,93.428,96.587,85.565,84.315,1.3
2013,　　　강원도,84.865,99.013,114.878,95.852,97.296,85.649,85.946,1.19
2014,　　　강원도,82.338,99.597,117.582,97.097,97.906,86.798,87.315,1.21
2015,　　　강원도,83.734,98.263,112.202,98.04,98.919,88.444,88.439,1.24
2016,　　　강원도,86.777,97.432,104.724,99.02,100.009,90.795,91.215,1.17
2017,　　　강원도,90.988,99.225,101.964,100.227,100.806,93.527,93.489,1.05
2018,　　　강원도,93.776,100.622,99.2,100.868,101.054,96.258,95.82,0.98
2019,　　　강원도,93.303,100.492,100.595,100.58,101.567,99.069,98.13,0.92
2020,　　　강원도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　강원도,109.65,102.69,98.28,100.36,100.95,102.37,102.83,0.81
2022,　　　강원도,114.87,111.23,110.27,101.37,102.11,110.45,107.28,0.78
2012,　　　충청북도,84.645,97.813,112.282,95.733,96.74,86.123,84.996,1.3
2013,　　　충청북도,83.93,98.694,117.029,98.63,97.476,88.114,86.078,1.19
2014,　　　충청북도,82.486,99.676,121.566,99.824,98.574,89.366,87.773,1.21
2015,　　　충청북도,83.268,98.53,114.278,100.332,98.989,91.035,88.741,1.24
2016,　　　충청북도,86.518,97.651,104.519,101.073,100.116,92.836,91.244,1.17
2017,　　　충청북도,90.535,99.336,102.866,101.461,100.597,95.724,94.104,1.05
2018,　　　충청북도,94.943,100.788,99.936,101.049,100.705,98.555,96.454,0.98
2019,　　　충청북도,94.211,100.476,100.975,100.401,100.687,99.082,98.809,0.92
2020,　　　충청북도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　충청북도,108.76,102.74,98.51,100.35,101.98,102.55,102.13,0.81
2022,　　　충청북도,112.8,110.67,109.56,101.73,103.38,110.12,106.42,0.78
2012,　　　충청남도,83.912,98.453,112.905,93.352,98.832,89.387,85.421,1.3
2013,　　　충청남도,82.163,99.183,117.739,97.188,99.897,91.69,86.361,1.19
2014,　　　충청남도,79.582,99.967,122.075,99.642,100.993,89.591,87.366,1.21
2015,　　　충청남도,82.854,98.718,113.412,101.667,101.966,91.017,88.785,1.24
2016,　　　충청남도,85.715,97.925,103.957,102.431,103.016,92.976,91.818,1.17
2017,　　　충청남도,90.154,99.557,103.02,102.555,104.107,95.279,94.137,1.05
2018,　　　충청남도,93.611,100.786,100.032,101.686,104.257,97.826,96.543,0.98
2019,　　　충청남도,92.529,100.432,101.736,100.397,100.873,99.342,98.47,0.92
2020,　　　충청남도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　충청남도,108.97,102.73,99.39,101.17,101.18,102.6,102.04,0.81
2022,　　　충청남도,114.08,111.15,111.46,103.2,100.82,110.03,106.27,0.78
2012,　　　전라북도,83.393,98.749,114.353,95.487,97.144,85.357,84.871,1.3
2013,　　　전라북도,84.095,99.432,118.976,97.916,97.948,85.778,86.477,1.19
2014,　　　전라북도,81.156,100.569,123.037,98.686,98.948,87.343,88.48,1.21
2015,　　　전라북도,82.994,98.804,114.959,98.861,99.751,89.486,90.229,1.24
2016,　　　전라북도,86.346,97.819,104.972,99.258,100.803,91.752,92.72,1.17
2017,　　　전라북도,89.444,99.532,102.872,99.918,102.245,93.865,95.027,1.05
2018,　　　전라북도,93.796,101.21,99.851,100.164,102.585,96.64,96.914,0.98
2019,　　　전라북도,92.838,100.596,101.262,100.189,101.985,98.949,98.749,0.92
2020,　　　전라북도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　전라북도,108.21,102.61,97.84,100.26,101.39,102.71,102.25,0.81
2022,　　　전라북도,111.27,110.14,109.38,100.94,102.85,110.38,105.92,0.78
2012,　　　전라남도,83.08,97.84,112.694,93.129,97.128,86.637,84.587,1.3
2013,　　　전라남도,83.136,98.682,117.242,95.44,98.208,87.776,86.636,1.19
2014,　　　전라남도,81.657,99.655,121.144,96.583,99.179,89.202,87.955,1.21
2015,　　　전라남도,82.107,98.188,114.252,97.125,99.98,90.779,89.601,1.24
2016,　　　전라남도,86.316,97.404,106.374,97.432,101.39,91.862,92.886,1.17
2017,　　　전라남도,90.298,99.172,103.209,98.117,103.487,93.434,95.641,1.05
2018,　　　전라남도,93.213,100.604,100.039,98.924,103.435,96.519,97.303,0.98
2019,　　　전라남도,93.08,100.384,100.924,99.743,102.009,98.676,98.835,0.92
2020,　　　전라남도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　전라남도,107.15,102.62,98.27,100.58,101.18,102.72,102.4,0.81
2022,　　　전라남도,110.67,110.82,110.03,101.77,101.87,110.72,106.27,0.78
2012,　　　경상북도,85.386,98.089,112.596,98.775,98.342,86.748,86.389,1.3
2013,　　　경상북도,84.764,98.744,116.751,100.888,98.987,88.83,87.89,1.19
2014,　　　경상북도,83.526,99.674,121.711,102.246,99.677,89.897,89.208,1.21
2015,　　　경상북도,84.822,98.476,113.95,102.929,100.38,91.571,90.719,1.24
2016,　　　경상북도,88.068,97.555,104.061,103.391,102.036,93.422,93.579,1.17
2017,　　　경상북도,91.882,99.408,102.374,103.105,102.82,95.283,95.952,1.05
2018,　　　경상북도,96.614,101.046,99.531,102.126,102.842,97.39,97.503,0.98
2019,　　　경상북도,94.227,100.675,101.171,100.771,102.018,99.621,99.203,0.92
2020,　　　경상북도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　경상북도,108.32,102.89,98.05,100.43,101.04,102.98,102.02,0.81
2022,　　　경상북도,113.16,111.27,110.24,101.3,101.76,111.05,106.03,0.78
2012,　　　경상남도,86.454,97.418,112.21,99.341,95.266,84.164,85.63,1.3
2013,　　　경상남도,85.369,98.2,116.863,101.756,96.455,86.411,86.887,1.19
2014,　　　경상남도,83.376,99.437,121.295,103.188,97.678,88.223,88.714,1.21
2015,　　　경상남도,84.132,98.485,113.961,103.852,98.747,92.087,90.295,1.24
2016,　　　경상남도,87.422,97.764,104.659,104.251,100.581,94.739,92.835,1.17
2017,　　　경상남도,90.649,99.183,103.108,104.515,101.602,96.591,94.841,1.05
2018,　　　경상남도,94.758,100.624,100.035,103.154,102.043,98.29,96.67,0.98
2019,　　　경상남도,93.736,100.369,101.271,101.233,101.343,98.913,98.43,0.92
2020,　　　경상남도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　경상남도,107.7,102.61,98.26,100.42,100.82,102.95,102.06,0.81
2022,　　　경상남도,111.44,110.36,110.01,101.96,101.74,110.68,105.36,0.78
2012,　　　제주특별자치도,80.846,97.885,103.764,89.911,95.459,83.968,85.894,1.3
2013,　　　제주특별자치도,81.691,98.537,107.793,92.859,95.95,85.443,88.093,1.19
2014,　　　제주특별자치도,80.077,99.423,110.227,94.248,97.238,87.585,89.296,1.21
2015,　　　제주특별자치도,82.651,98.529,109.038,95.558,98.904,89.425,90.03,1.24
2016,　　　제주특별자치도,86.327,97.826,104.825,97.91,99.721,92.643,92.459,1.17
2017,　　　제주특별자치도,89.997,99.704,101.256,100.147,100.757,95.585,95.187,1.05
2018,　　　제주특별자치도,94.969,101.055,99.231,100.625,100.639,97.823,97.424,0.98
2019,　　　제주특별자치도,94.868,100.738,99.392,100.387,100.001,98.896,99.505,0.92
2020,　　　제주특별자치도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　제주특별자치도,108.94,103.16,99.36,100.01,100.71,103.04,101.08,0.81
2022,　　　제주특별자치도,114.18,111.43,109.41,101.01,101.81,111.03,106.8,0.78
